Unnamed: 0,student_id,student serial,course_id,Course Name,course_name
5229,861,17813,10,COMPUTER DESIGN & PERFORMANCE EVAL.,COMPUTER DESIGN & PERFORMANCE EVAL.
5230,861,17813,12,Mobile Applications,Mobile Applications
5231,861,17813,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5232,861,17813,1,DATA SECURITY,DATA SECURITY
5233,861,17813,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5234,861,17813,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5235,862,25201,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5236,862,25201,14,Web Engineering,Web Engineering
5237,862,25201,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5238,862,25201,1,DATA SECURITY,DATA SECURITY
5239,862,25201,15,Introduction to Data Mining,Introduction to Data Mining
5240,862,25201,11,Cloud Computing,Cloud Computing
5241,863,24627,0,Computing Algorithms,Computing Algorithms
5242,863,24627,10,COMPUTER DESIGN & PERFORMANCE EVAL.,COMPUTER DESIGN & PERFORMANCE EVAL.
5245,863,24627,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5246,864,29986,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5247,864,29986,14,Web Engineering,Web Engineering
5248,864,29986,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5249,864,29986,1,DATA SECURITY,DATA SECURITY
5250,864,29986,15,Introduction to Data Mining,Introduction to Data Mining
5251,864,29986,11,Cloud Computing,Cloud Computing
5252,865,22897,0,Computing Algorithms,Computing Algorithms
5253,865,22897,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5254,865,22897,21,Cyber Security,Cyber Security
5255,865,22897,12,Mobile Applications,Mobile Applications
5256,865,22897,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5257,865,22897,1,DATA SECURITY,DATA SECURITY
5258,866,16822,1,DATA SECURITY,DATA SECURITY
5259,866,16822,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5260,866,16822,19,Introduction to Big Data Management,Introduction to Big Data Management
5261,866,16822,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5262,866,16822,15,Introduction to Data Mining,Introduction to Data Mining
5263,866,16822,11,Cloud Computing,Cloud Computing
5264,867,18858,7,INTELLIGENT ROBOTICS,INTELLIGENT ROBOTICS
5265,867,18858,0,Computing Algorithms,Computing Algorithms
5266,867,18858,1,DATA SECURITY,DATA SECURITY
5267,867,18858,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5268,867,18858,19,Introduction to Big Data Management,Introduction to Big Data Management
5269,867,18858,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5270,868,9736,1,DATA SECURITY,DATA SECURITY
5271,868,9736,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5272,868,9736,19,Introduction to Big Data Management,Introduction to Big Data Management
5273,868,9736,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5274,868,9736,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5275,868,9736,9,DISTRIBUTED & PARALLEL SYSTEMS,DISTRIBUTED & PARALLEL SYSTEMS
5276,869,17550,0,Computing Algorithms,Computing Algorithms
5277,869,17550,7,INTELLIGENT ROBOTICS,INTELLIGENT ROBOTICS
5278,869,17550,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5279,869,17550,12,Mobile Applications,Mobile Applications
5280,869,17550,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5281,869,17550,1,DATA SECURITY,DATA SECURITY
5282,870,15970,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5283,870,15970,14,Web Engineering,Web Engineering
5284,870,15970,19,Introduction to Big Data Management,Introduction to Big Data Management
5285,870,15970,1,DATA SECURITY,DATA SECURITY
5286,870,15970,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5287,870,15970,15,Introduction to Data Mining,Introduction to Data Mining
5288,871,32027,0,Computing Algorithms,Computing Algorithms
5289,871,32027,14,Web Engineering,Web Engineering
5290,871,32027,19,Introduction to Big Data Management,Introduction to Big Data Management
5291,871,32027,21,Cyber Security,Cyber Security
5292,871,32027,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5293,871,32027,15,Introduction to Data Mining,Introduction to Data Mining
5294,69,29969,14,Web Engineering,Web Engineering
5295,69,29969,10,COMPUTER DESIGN & PERFORMANCE EVAL.,COMPUTER DESIGN & PERFORMANCE EVAL.
5296,69,29969,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5297,69,29969,21,Cyber Security,Cyber Security
5300,872,14127,22,Multimedia&Virtual Reality Systems,Multimedia&Virtual Reality Systems
5303,872,14127,14,Web Engineering,Web Engineering
5304,872,14127,19,Introduction to Big Data Management,Introduction to Big Data Management
5305,872,14127,1,DATA SECURITY,DATA SECURITY
5306,872,14127,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5307,872,14127,9,DISTRIBUTED & PARALLEL SYSTEMS,DISTRIBUTED & PARALLEL SYSTEMS
5308,872,14127,11,Cloud Computing,Cloud Computing
5309,873,2613,0,Computing Algorithms,Computing Algorithms
5310,873,2613,1,DATA SECURITY,DATA SECURITY
5311,873,2613,21,Cyber Security,Cyber Security
5312,873,2613,15,Introduction to Data Mining,Introduction to Data Mining
5313,873,2613,11,Cloud Computing,Cloud Computing
5314,535,31243,7,INTELLIGENT ROBOTICS,INTELLIGENT ROBOTICS
5315,535,31243,19,Introduction to Big Data Management,Introduction to Big Data Management
5319,535,31243,15,Introduction to Data Mining,Introduction to Data Mining
5321,837,23632,19,Introduction to Big Data Management,Introduction to Big Data Management
5323,837,23632,0,Computing Algorithms,Computing Algorithms
5325,837,23632,11,Cloud Computing,Cloud Computing
5326,874,4373,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5327,874,4373,1,DATA SECURITY,DATA SECURITY
5328,874,4373,14,Web Engineering,Web Engineering
5329,874,4373,12,Mobile Applications,Mobile Applications
5330,874,4373,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5331,874,4373,15,Introduction to Data Mining,Introduction to Data Mining
5332,875,18544,3,NEURAL NETWORKS,NEURAL NETWORKS
